NOTE  60 1.0 beat1
    0.04601227   mnote 63 113 ""0.0.116"" 2
NOTE  60 1.0 beat11
    0.0   mnote 12 100 ""0.0.74"" 16
    0.13496933   mnote 57 55 ""0.0.735"" 1
    0.0   mnote 66 55 ""0.0.735"" 1
    0.0   mnote 73 55 ""0.0.735"" 1
    0.0   mnote 42 105 ""0.0.241"" 1
    0.018404909   mnote 2 101 ""0.0.589"" 15
    0.0   mnote 2 101 ""0.0.333"" 16
    0.0030674846   mnote 42 55 ""0.0.729"" 1
    0.107361965   mnote 61 63 ""0.0.122"" 2
    0.5153374   mnote 42 74 ""0.0.141"" 1
    0.12883435   mnote 60 127 ""0.0.69"" 2
NOTE  60 1.0 beat12
    0.0   mnote 12 100 ""0.0.74"" 16
    0.14723927   mnote 30 93 ""0.0.399"" 1
    0.006134969   mnote 6 101 ""0.0.589"" 15
    0.0   mnote 6 101 ""0.0.333"" 16
    0.09202454   mnote 63 103 ""0.0.268"" 2
    0.5766871   mnote 60 66 ""0.0.115"" 1
    0.0   mnote 65 66 ""0.0.115"" 1
    0.0   mnote 56 66 ""0.0.115"" 1
    0.009202454   mnote 41 55 ""0.0.110"" 1
    0.11349693   mnote 39 55 ""0.0.426"" 1
    0.015337423   mnote 63 60 ""0.0.417"" 1
    0.0   mnote 70 60 ""0.0.417"" 1
    0.0   mnote 55 60 ""0.0.417"" 1
NOTE  60 1.0 beat13
    0.0   mnote 12 100 ""0.0.74"" 16
    0.12883435   mnote 51 94 ""0.0.311"" 1
    0.024539877   mnote 6 101 ""0.0.589"" 15
    0.0   mnote 6 101 ""0.0.333"" 16
    0.018404909   mnote 67 127 ""0.0.215"" 2
    0.7208589   mnote 63 92 ""0.0.215"" 2
NOTE  60 1.0 beat14
    0.0   mnote 12 100 ""0.0.74"" 16
    0.13496933   mnote 50 97 ""0.0.302"" 1
    0.018404909   mnote 3 100 ""0.0.589"" 15
    0.0   mnote 3 100 ""0.0.333"" 16
    0.66871167   mnote 60 127 ""0.0.130"" 2
NOTE  60 1.0 beat15
    0.0   mnote 12 100 ""0.0.74"" 16
    0.11042945   mnote 62 55 ""0.0.895"" 1
    0.0   mnote 58 55 ""0.0.895"" 1
    0.0   mnote 55 55 ""0.0.895"" 1
    0.0   mnote 51 55 ""0.0.895"" 1
    0.0   mnote 36 94 ""0.0.396"" 1
    0.021472393   mnote 48 55 ""0.0.885"" 1
    0.021472393   mnote 3 100 ""0.0.589"" 15
    0.0   mnote 3 100 ""0.0.333"" 16
    0.17791412   mnote 56 71 ""0.0.253"" 2
    0.61349696   mnote 53 98 ""0.0.383"" 2
NOTE  60 1.0 beat16
    0.0   mnote 12 100 ""0.0.74"" 16
    0.10429448   mnote 48 97 ""0.0.384"" 1
    0.049079754   mnote 0 101 ""0.0.589"" 15
    0.0   mnote 0 101 ""0.0.333"" 16
    0.73926384   mnote 53 113 ""0.0.144"" 2
NOTE  60 1.0 beat17
    0.0   mnote 12 100 ""0.0.74"" 16
    0.116564416   mnote 60 55 ""0.0.445"" 1
    0.0   mnote 56 55 ""0.0.445"" 1
    0.0   mnote 65 55 ""0.0.445"" 1
    0.0   mnote 51 55 ""0.0.445"" 1
    0.0   mnote 41 94 ""0.0.358"" 1
    0.036809817   mnote 0 101 ""0.0.589"" 15
    0.0   mnote 0 101 ""0.0.333"" 16
    0.009202454   mnote 53 55 ""0.0.423"" 1
    0.0   mnote 56 77 ""0.0.147"" 2
    0.38650307   mnote 60 127 ""0.0.99"" 2
    0.33435583   mnote 63 113 ""0.0.146"" 2
NOTE  60 1.0 beat18
    0.0   mnote 12 100 ""0.0.74"" 16
    0.107361965   mnote 55 55 ""0.0.448"" 1
    0.0   mnote 64 55 ""0.0.448"" 1
    0.0   mnote 71 55 ""0.0.448"" 1
    0.0   mnote 28 92 ""0.0.306"" 1
    0.021472393   mnote 52 55 ""0.0.437"" 1
    0.024539877   mnote 5 101 ""0.0.589"" 15
    0.0   mnote 5 101 ""0.0.333"" 16
    0.03374233   mnote 60 127 ""0.0.137"" 2
    0.398773   mnote 56 76 ""0.0.115"" 2
    0.37116563   mnote 53 88 ""0.0.137"" 2
NOTE  60 1.0 beat19
    0.0   mnote 12 100 ""0.0.74"" 16
    0.10122699   mnote 62 55 ""0.0.448"" 1
    0.0   mnote 58 55 ""0.0.448"" 1
    0.0   mnote 55 55 ""0.0.448"" 1
    0.0   mnote 51 55 ""0.0.448"" 1
    0.0   mnote 36 94 ""0.0.396"" 1
    0.021472393   mnote 48 55 ""0.0.437"" 1
    0.030674847   mnote 4 101 ""0.0.589"" 15
    0.0   mnote 4 101 ""0.0.333"" 16
    0.058282208   mnote 51 120 ""0.0.153"" 2
    0.36809817   mnote 49 91 ""0.0.130"" 2
    0.36809817   mnote 50 85 ""0.0.122"" 2
NOTE  60 1.0 beat20
    0.0   mnote 12 100 ""0.0.74"" 16
    0.09202454   mnote 63 55 ""0.0.448"" 1
    0.0   mnote 59 55 ""0.0.448"" 1
    0.0   mnote 56 55 ""0.0.448"" 1
    0.0   mnote 52 55 ""0.0.448"" 1
    0.0   mnote 37 94 ""0.0.396"" 1
    0.021472393   mnote 49 55 ""0.0.437"" 1
    0.0398773   mnote 0 101 ""0.0.589"" 15
    0.0   mnote 0 101 ""0.0.333"" 16
    0.049079754   mnote 52 95 ""0.0.138"" 2
    0.36809817   mnote 53 101 ""0.0.107"" 2
    0.35889572   mnote 55 75 ""0.0.130"" 2
NOTE  60 1.0 beat21
    0.0   mnote 12 100 ""0.0.74"" 16
    0.10122699   mnote 54 55 ""0.0.733"" 1
    0.0   mnote 63 55 ""0.0.733"" 1
    0.0   mnote 58 55 ""0.0.733"" 1
    0.0   mnote 39 92 ""0.0.340"" 1
    0.021472393   mnote 51 55 ""0.0.627"" 1
    0.030674847   mnote 1 101 ""0.0.589"" 15
    0.0   mnote 1 101 ""0.0.333"" 16
    0.09509202   mnote 57 103 ""0.0.144"" 2
    0.33435583   mnote 59 121 ""0.0.107"" 2
    0.16564417   mnote 27 85 ""0.0.115"" 1
    0.15644172   mnote 60 127 ""0.0.107"" 2
NOTE  60 1.0 beat22
    0.0   mnote 12 100 ""0.0.74"" 16
    0.09509202   mnote 39 94 ""0.0.445"" 1
    0.058282208   mnote 3 101 ""0.0.589"" 15
    0.0   mnote 3 101 ""0.0.333"" 16
    0.0398773   mnote 62 105 ""0.0.2799"" 2
    0.36503068   mnote 64 113 ""0.0.109"" 2
    0.19018404   mnote 55 55 ""0.0.130"" 1
    0.0   mnote 64 55 ""0.0.130"" 1
    0.0   mnote 59 55 ""0.0.130"" 1
    0.021472393   mnote 52 55 ""0.0.119"" 1
    0.082822085   mnote 65 110 ""0.0.144"" 2
NOTE  60 1.0 beat23
    0.0   mnote 12 100 ""0.0.74"" 16
    0.09509202   mnote 40 87 ""0.0.433"" 1
    0.058282208   mnote 3 101 ""0.0.589"" 15
    0.0   mnote 3 101 ""0.0.333"" 16
    0.018404909   mnote 67 127 ""0.0.100"" 2
    0.34969324   mnote 69 100 ""0.0.109"" 2
    0.32515338   mnote 71 93 ""0.0.124"" 2
NOTE  60 1.0 beat24
    0.0   mnote 12 100 ""0.0.74"" 16
    0.08895706   mnote 39 92 ""0.0.358"" 1
    0.04601227   mnote 72 108 ""0.0.131"" 2
    0.018404909   mnote 4 101 ""0.0.589"" 15
    0.0   mnote 4 101 ""0.0.333"" 16
    0.25460124   mnote 74 113 ""0.0.107"" 2
    0.30981594   mnote 76 110 ""0.0.967"" 2
NOTE  60 1.0 beat25
    0.0   mnote 12 100 ""0.0.74"" 16
    0.0797546   mnote 40 87 ""0.0.433"" 1
    0.073619634   mnote 3 101 ""0.0.589"" 15
    0.0   mnote 3 101 ""0.0.333"" 16
NOTE  60 1.0 beat26
    0.0   mnote 12 100 ""0.0.74"" 16
    0.08895706   mnote 58 55 ""0.0.334"" 1
    0.0   mnote 55 55 ""0.0.334"" 1
    0.0   mnote 52 55 ""0.0.334"" 1
    0.0   mnote 60 55 ""0.0.334"" 1
    0.0   mnote 36 87 ""0.0.324"" 1
    0.015337423   mnote 48 55 ""0.0.327"" 1
    0.049079754   mnote 4 101 ""0.0.589"" 15
    0.0   mnote 4 101 ""0.0.333"" 16
    0.4754601   mnote 74 106 ""0.0.153"" 2
NOTE  60 1.0 beat27
    0.0   mnote 12 100 ""0.0.74"" 16
    0.0797546   mnote 59 108 ""0.0.222"" 2
    0.018404909   mnote 54 55 ""0.0.448"" 1
    0.0   mnote 63 55 ""0.0.448"" 1
    0.0   mnote 70 55 ""0.0.448"" 1
    0.0   mnote 39 105 ""0.0.241"" 1
    0.021472393   mnote 39 55 ""0.0.437"" 1
    0.03374233   mnote 0 102 ""0.0.589"" 15
    0.0   mnote 0 102 ""0.0.333"" 16
    0.5184049   mnote 62 106 ""0.0.1603"" 2
    0.015337423   mnote 64 105 ""0.0.115"" 2
    0.018404909   mnote 39 74 ""0.0.141"" 1
NOTE  60 1.0 beat28
    0.0   mnote 12 100 ""0.0.74"" 16
    0.055214726   mnote 59 82 ""0.0.215"" 2
    0.015337423   mnote 51 55 ""0.0.337"" 1
    0.0   mnote 60 55 ""0.0.337"" 1
    0.0   mnote 56 55 ""0.0.337"" 1
    0.0   mnote 65 55 ""0.0.337"" 1
    0.0   mnote 29 105 ""0.0.181"" 1
    0.018404909   mnote 41 55 ""0.0.328"" 1
    0.064417176   mnote 3 101 ""0.0.589"" 15
    0.0   mnote 3 101 ""0.0.333"" 16
    0.38957056   mnote 29 74 ""0.0.106"" 1
    0.009202454   mnote 62 88 ""0.0.106"" 2
    0.18404909   mnote 59 111 ""0.0.124"" 2
NOTE  60 1.0 beat29
    0.0   mnote 12 100 ""0.0.74"" 16
    0.06748466   mnote 55 93 ""0.0.215"" 2
    0.0030674846   mnote 59 55 ""0.0.334"" 1
    0.0   mnote 56 55 ""0.0.334"" 1
    0.0   mnote 53 55 ""0.0.334"" 1
    0.0   mnote 61 55 ""0.0.334"" 1
    0.0   mnote 37 87 ""0.0.324"" 1
    0.015337423   mnote 49 55 ""0.0.327"" 1
    0.06748466   mnote 5 101 ""0.0.589"" 15
    0.0   mnote 5 101 ""0.0.333"" 16
    0.5214724   mnote 59 111 ""0.0.191"" 2
NOTE  60 1.0 beat30
    0.0   mnote 12 100 ""0.0.74"" 16
    0.073619634   mnote 51 55 ""0.0.733"" 1
    0.0   mnote 60 55 ""0.0.733"" 1
    0.0   mnote 55 55 ""0.0.733"" 1
    0.0   mnote 36 92 ""0.0.340"" 1
    0.021472393   mnote 48 55 ""0.0.627"" 1
    0.058282208   mnote 1 102 ""0.0.589"" 15
    0.0   mnote 1 102 ""0.0.333"" 16
    0.006134969   mnote 55 65 ""0.0.536"" 2
    0.5613497   mnote 24 85 ""0.0.115"" 1
NOTE  60 1.0 beat31
    0.0   mnote 12 100 ""0.0.74"" 16
    0.06748466   mnote 36 94 ""0.0.445"" 1
    0.08588957   mnote 0 101 ""0.0.589"" 15
    0.0   mnote 0 101 ""0.0.333"" 16
    0.5828221   mnote 52 55 ""0.0.130"" 1
    0.0   mnote 61 55 ""0.0.130"" 1
    0.0   mnote 56 55 ""0.0.130"" 1
    0.021472393   mnote 49 55 ""0.0.119"" 1
NOTE  60 1.0 beat32
    0.0   mnote 12 100 ""0.0.74"" 16
    0.07668712   mnote 51 55 ""0.0.449"" 1
    0.0   mnote 60 55 ""0.0.449"" 1
    0.0   mnote 55 55 ""0.0.449"" 1
    0.0   mnote 36 92 ""0.0.340"" 1
    0.021472393   mnote 48 55 ""0.0.439"" 1
    0.055214726   mnote 0 101 ""0.0.589"" 15
    0.0   mnote 0 101 ""0.0.333"" 16
    0.5705522   mnote 24 85 ""0.0.115"" 1
    0.036809817   mnote 60 125 ""0.0.115"" 2
NOTE  60 1.0 beat33
    0.0   mnote 12 100 ""0.0.74"" 16
    0.07668712   mnote 61 55 ""0.0.334"" 1
    0.0   mnote 58 55 ""0.0.334"" 1
    0.0   mnote 55 55 ""0.0.334"" 1
    0.0   mnote 63 55 ""0.0.334"" 1
    0.0   mnote 39 87 ""0.0.324"" 1
    0.015337423   mnote 51 55 ""0.0.327"" 1
    0.061349694   mnote 0 101 ""0.0.589"" 15
    0.0   mnote 0 101 ""0.0.333"" 16
    0.030674847   mnote 62 117 ""0.0.222"" 2
    0.5674847   mnote 63 101 ""0.0.186"" 2
NOTE  60 1.0 beat34
    0.0   mnote 12 100 ""0.0.74"" 16
    0.09202454   mnote 34 96 ""0.0.317"" 1
    0.036809817   mnote 46 55 ""0.0.318"" 1
    0.024539877   mnote 3 102 ""0.0.589"" 15
    0.0   mnote 3 102 ""0.0.333"" 16
    0.058282208   mnote 62 72 ""0.0.268"" 2
    0.61349696   mnote 60 127 ""0.0.106"" 2
NOTE  60 1.0 beat35
    0.0   mnote 12 100 ""0.0.74"" 16
    0.07668712   mnote 62 55 ""0.0.895"" 1
    0.0   mnote 58 55 ""0.0.895"" 1
    0.0   mnote 55 55 ""0.0.895"" 1
    0.0   mnote 51 55 ""0.0.895"" 1
    0.0   mnote 36 94 ""0.0.396"" 1
    0.021472393   mnote 48 55 ""0.0.885"" 1
    0.055214726   mnote 10 100 ""0.0.589"" 15
    0.0   mnote 10 100 ""0.0.333"" 16
    0.082822085   mnote 58 100 ""0.0.262"" 2
    0.5429448   mnote 57 100 ""0.0.160"" 2
NOTE  60 1.0 beat36
    0.0   mnote 12 100 ""0.0.74"" 16
    0.06748466   mnote 48 97 ""0.0.384"" 1
    0.08588957   mnote 0 101 ""0.0.589"" 15
    0.0   mnote 0 101 ""0.0.333"" 16
    0.058282208   mnote 56 83 ""0.0.237"" 2
    0.76993865   mnote 55 85 ""0.0.206"" 2
NOTE  60 1.0 beat37
    0.0   mnote 12 100 ""0.0.74"" 16
    0.058282208   mnote 53 55 ""0.0.449"" 1
    0.0   mnote 62 55 ""0.0.449"" 1
    0.0   mnote 57 55 ""0.0.451"" 1
    0.0   mnote 38 92 ""0.0.340"" 1
    0.021472393   mnote 50 55 ""0.0.439"" 1
    0.073619634   mnote 0 101 ""0.0.589"" 15
    0.0   mnote 0 101 ""0.0.333"" 16
    0.2576687   mnote 56 82 ""0.0.200"" 2
    0.31288344   mnote 26 85 ""0.0.115"" 1
    0.061349694   mnote 55 89 ""0.0.138"" 2
NOTE  60 1.0 beat38
    0.0   mnote 12 100 ""0.0.74"" 16
    0.07055215   mnote 53 55 ""0.0.337"" 1
    0.0   mnote 62 55 ""0.0.337"" 1
    0.0   mnote 58 55 ""0.0.337"" 1
    0.0   mnote 67 55 ""0.0.337"" 1
    0.0   mnote 31 105 ""0.0.181"" 1
    0.018404909   mnote 43 55 ""0.0.328"" 1
    0.03374233   mnote 53 93 ""0.0.253"" 2
    0.030674847   mnote 2 101 ""0.0.589"" 15
    0.0   mnote 2 101 ""0.0.333"" 16
    0.38957056   mnote 31 74 ""0.0.106"" 1
    0.21779141   mnote 55 121 ""0.0.153"" 2
NOTE  60 1.0 beat39
    0.0   mnote 12 100 ""0.0.74"" 16
    0.07055215   mnote 60 55 ""0.0.892"" 1
    0.0   mnote 56 55 ""0.0.892"" 1
    0.0   mnote 65 55 ""0.0.892"" 1
    0.0   mnote 51 55 ""0.0.892"" 1
    0.0   mnote 41 94 ""0.0.358"" 1
    0.04601227   mnote 53 55 ""0.0.870"" 1
    0.036809817   mnote 7 101 ""0.0.589"" 15
    0.0   mnote 7 101 ""0.0.333"" 16
    0.055214726   mnote 56 92 ""0.0.191"" 2
    0.5521472   mnote 58 95 ""0.0.153"" 2
NOTE  60 1.0 beat40
    0.0   mnote 12 100 ""0.0.74"" 16
    0.06748466   mnote 48 97 ""0.0.347"" 1
    0.08588957   mnote 5 101 ""0.0.589"" 15
    0.0   mnote 5 101 ""0.0.333"" 16
    0.06748466   mnote 59 108 ""0.0.208"" 2
    0.5582822   mnote 61 105 ""0.0.155"" 2
NOTE  60 1.0 beat41
    0.0   mnote 12 100 ""0.0.74"" 16
    0.07055215   mnote 43 97 ""0.0.261"" 1
    0.018404909   mnote 53 60 ""0.0.325"" 1
    0.0   mnote 62 60 ""0.0.325"" 1
    0.0   mnote 58 60 ""0.0.325"" 1
    0.0   mnote 57 60 ""0.0.325"" 1
    0.064417176   mnote 5 101 ""0.0.589"" 15
    0.0   mnote 5 101 ""0.0.333"" 16
    0.061349694   mnote 62 95 ""0.0.2771"" 2
    0.5766871   mnote 67 127 ""0.0.84"" 2
NOTE  60 1.0 beat42
    0.0   mnote 12 100 ""0.0.74"" 16
    0.0797546   mnote 62 55 ""0.0.448"" 1
    0.0   mnote 58 55 ""0.0.448"" 1
    0.0   mnote 55 55 ""0.0.448"" 1
    0.0   mnote 51 55 ""0.0.448"" 1
    0.0   mnote 36 94 ""0.0.396"" 1
    0.021472393   mnote 48 55 ""0.0.437"" 1
    0.05214724   mnote 7 101 ""0.0.589"" 15
    0.0   mnote 7 101 ""0.0.333"" 16
    0.036809817   mnote 70 105 ""0.0.199"" 2
    0.607362   mnote 71 92 ""0.0.77"" 2
NOTE  60 1.0 beat43
    0.0   mnote 12 100 ""0.0.74"" 16
    0.08895706   mnote 60 55 ""0.0.445"" 1
    0.0   mnote 56 55 ""0.0.445"" 1
    0.0   mnote 65 55 ""0.0.530"" 1
    0.0   mnote 51 55 ""0.0.445"" 1
    0.0   mnote 41 94 ""0.0.358"" 1
    0.04601227   mnote 53 55 ""0.0.423"" 1
    0.0   mnote 74 113 ""0.0.244"" 2
    0.018404909   mnote 0 101 ""0.0.589"" 15
    0.0   mnote 0 101 ""0.0.333"" 16
    0.68711657   mnote 67 127 ""0.0.15"" 2
NOTE  60 1.0 beat44
    0.0   mnote 12 100 ""0.0.74"" 16
    0.0797546   mnote 62 55 ""0.0.334"" 1
    0.0   mnote 58 55 ""0.0.334"" 1
    0.0   mnote 57 55 ""0.0.334"" 1
    0.0   mnote 53 55 ""0.0.334"" 1
    0.0   mnote 43 92 ""0.0.255"" 1
    0.015337423   mnote 43 55 ""0.0.327"" 1
    0.058282208   mnote 5 101 ""0.0.589"" 15
    0.0   mnote 5 101 ""0.0.333"" 16
    0.006134969   mnote 70 105 ""0.0.246"" 2
    0.40797547   mnote 31 85 ""0.0.87"" 1
    0.16257669   mnote 63 88 ""0.0.162"" 2
NOTE  60 1.0 beat45
    0.0   mnote 12 100 ""0.0.74"" 16
    0.0797546   mnote 43 94 ""0.0.414"" 1
    0.073619634   mnote 7 101 ""0.0.589"" 15
    0.0   mnote 7 101 ""0.0.333"" 16
    0.030674847   mnote 67 127 ""0.0.168"" 2
    0.77300615   mnote 62 55 ""0.0.2457"" 2
NOTE  60 1.0 beat46
    0.0   mnote 12 100 ""0.0.74"" 16
    0.08895706   mnote 61 56 ""0.0.446"" 1
    0.0   mnote 72 56 ""0.0.446"" 1
    0.0   mnote 55 56 ""0.0.446"" 1
    0.0   mnote 65 56 ""0.0.446"" 1
    0.0   mnote 39 84 ""0.0.446"" 1
    0.009202454   mnote 51 59 ""0.0.443"" 1
    0.055214726   mnote 7 102 ""0.0.589"" 15
    0.0   mnote 7 102 ""0.0.333"" 16
    0.12269939   mnote 63 100 ""0.0.253"" 2
NOTE  60 1.0 beat47
    0.0   mnote 12 100 ""0.0.74"" 16
    0.082822085   mnote 38 87 ""0.0.252"" 1
    0.015337423   mnote 50 55 ""0.0.227"" 1
    0.012269938   mnote 62 89 ""0.0.277"" 2
    0.042944786   mnote 3 102 ""0.0.589"" 15
    0.0   mnote 3 102 ""0.0.333"" 16
    0.41717792   mnote 58 55 ""0.0.100"" 1
    0.0   mnote 54 55 ""0.0.100"" 1
    0.0   mnote 63 55 ""0.0.100"" 1
    0.0   mnote 60 55 ""0.0.100"" 1
    0.2760736   mnote 60 127 ""0.0.221"" 2
NOTE  60 1.0 beat48
    0.0   mnote 12 100 ""0.0.74"" 16
    0.08895706   mnote 38 94 ""0.0.334"" 1
    0.064417176   mnote 2 102 ""0.0.589"" 15
    0.0   mnote 2 102 ""0.0.333"" 16
    0.5398773   mnote 60 127 ""0.0.106"" 2
    0.009202454   mnote 59 106 ""0.0.60"" 2
NOTE  60 1.0 beat49
    0.0   mnote 12 100 ""0.0.74"" 16
    0.06748466   mnote 72 100 ""0.0.168"" 2
    0.015337423   mnote 63 55 ""0.0.334"" 1
    0.0   mnote 60 55 ""0.0.334"" 1
    0.0   mnote 57 55 ""0.0.334"" 1
    0.0   mnote 65 55 ""0.0.334"" 1
    0.0   mnote 41 87 ""0.0.324"" 1
    0.015337423   mnote 53 55 ""0.0.327"" 1
    0.055214726   mnote 2 102 ""0.0.589"" 15
    0.0   mnote 2 102 ""0.0.333"" 16
    0.2638037   mnote 67 127 ""0.0.69"" 2
    0.44785276   mnote 63 66 ""0.0.38"" 2
NOTE  60 1.0 beat50
    0.0   mnote 12 100 ""0.0.74"" 16
    0.10122699   mnote 57 55 ""0.0.449"" 1
    0.0   mnote 66 55 ""0.0.449"" 1
    0.0   mnote 61 55 ""0.0.449"" 1
    0.0   mnote 30 105 ""0.0.241"" 1
    0.0030674846   mnote 59 93 ""0.0.122"" 2
    0.015337423   mnote 60 103 ""0.0.213"" 2
    0.0030674846   mnote 54 55 ""0.0.437"" 1
    0.030674847   mnote 5 102 ""0.0.589"" 15
    0.0   mnote 5 102 ""0.0.333"" 16
    0.5705522   mnote 30 74 ""0.0.141"" 1
    0.1196319   mnote 62 91 ""0.0.84"" 2
NOTE  60 1.0 beat51
    0.0   mnote 12 100 ""0.0.74"" 16
    0.09815951   mnote 39 94 ""0.0.268"" 1
    0.036809817   mnote 39 55 ""0.0.322"" 1
    0.012269938   mnote 63 101 ""0.0.268"" 2
    0.006134969   mnote 6 101 ""0.0.589"" 15
    0.0   mnote 6 101 ""0.0.333"" 16
    0.77300615   mnote 61 55 ""0.0.424"" 1
    0.0   mnote 58 55 ""0.0.424"" 1
    0.0   mnote 55 55 ""0.0.424"" 1
    0.0   mnote 63 55 ""0.0.424"" 1
    0.018404909   mnote 51 55 ""0.0.415"" 1
NOTE  60 1.0 beat52
    0.0   mnote 12 100 ""0.0.74"" 16
    0.13190185   mnote 39 87 ""0.0.252"" 1
    0.021472393   mnote 3 100 ""0.0.589"" 15
    0.0   mnote 3 100 ""0.0.333"" 16
    0.07055215   mnote 63 117 ""0.0.346"" 2
NOTE  60 1.0 beat53
    0.0   mnote 12 100 ""0.0.74"" 16
    0.1196319   mnote 38 87 ""0.0.252"" 1
    0.015337423   mnote 50 55 ""0.0.227"" 1
    0.018404909   mnote 3 102 ""0.0.589"" 15
